,date,variable,value
110,2016-09,2,0.20996870485857358
111,2016-10,2,0.29316140644891486
112,2016-11,2,0.27514879940691983
113,2016-12,2,0.2028882690862383
114,2017-01,2,0.1281922093105858
115,2017-02,2,0.1707679762431557
116,2017-03,2,0.16801937651734003
117,2017-04,2,0.40911565900130825
118,2017-05,2,0.4015498582009132
119,2017-06,2,0.3480155783732932
120,2014-03,3,0.0
121,2014-04,3,0.09069447016220823
122,2014-05,3,0.186146756483244
123,2014-06,3,0.17313877290047533
124,2014-07,3,0.11674203270878764
125,2014-08,3,0.10224345167079828
126,2014-09,3,0.15514555506020736
127,2014-10,3,0.2605497905547232
128,2014-11,3,0.1492768997750791
129,2014-12,3,0.2555481816368102
130,2015-01,3,0.22897546107395203
131,2015-02,3,0.1906403127922301
132,2015-03,3,0.1712928277133767
133,2015-04,3,0.06399894626590437
134,2015-05,3,0.07293568456521142
135,2015-06,3,0.08197387305618392
136,2015-07,3,0.3078105629572276
137,2015-08,3,0.14570779936088607
138,2015-09,3,0.09073733423017541
139,2015-10,3,0.037538585128461845
140,2015-11,3,0.14966232314201797
141,2015-12,3,0.12407620860640699
142,2016-01,3,0.07196001118341157
143,2016-02,3,0.09606813230764912
144,2016-03,3,0.1509695871541467
145,2016-04,3,0.10517742651606599
146,2016-05,3,0.06558702144520907
147,2016-06,3,0.057362297849867176
148,2016-07,3,0.04109639481753447
149,2016-08,3,0.1626215913564255
150,2016-09,3,0.06693546332200877
151,2016-10,3,0.0
152,2016-11,3,0.4135697540730351
153,2016-12,3,0.14142572310309295
154,2017-01,3,0.39391867487854415
155,2017-02,3,0.3870175515615244
156,2017-03,3,0.2488380783448592
